Player,Span,Mat,Inns,NO,Runs,HS,Ave,100,50,0,Country,
Shafiq Ahmed,1974-1981,6,10,1,99,27*,11.00,0,0,3,Pakistan,
Wasim Raja,1973-1985,57,92,14,2821,125,36.16,4,18,8,Pakistan,
Talat Ali,1972-1979,10,18,2,370,61,23.12,0,2,2,Pakistan,
Imran Khan,1971-1992,88,126,25,3807,136,37.69,6,18,8,Pakistan,
Younis Ahmed,1969-1987,4,7,1,177,62,29.50,0,1,1,Pakistan,
Zaheer Abbas,1969-1985,78,124,11,5062,274,44.79,12,20,10,Pakistan,
Sarfraz Nawaz,1969-1984,55,72,13,1045,90,17.71,0,4,6,Pakistan,
Mohammad Nazir,1969-1983,14,18,10,144,29*,18.00,0,0,3,Pakistan,
Sadiq Mohammad,1969-1981,41,74,2,2579,166,35.81,5,10,6,Pakistan,
Asif Masood,1969-1977,16,19,10,93,30*,10.33,0,0,5,Pakistan,
Aftab Baloch,1969-1975,2,3,1,97,60*,48.50,0,1,0,Pakistan,
Aftab Gul,1969-1971,6,8,0,182,33,22.75,0,0,0,Pakistan,
Wasim Bari,1967-1984,81,112,26,1366,85,15.88,0,6,19,Pakistan,
Saleem Altaf,1967-1978,21,31,12,276,53*,14.52,0,1,4,Pakistan,
Niaz Ahmed,1967-1969,2,3,3,17,16*,-,0,0,0,Pakistan,
Ghulam Abbas,1967-1967,1,2,0,12,12,6.00,0,0,1,Pakistan,
Salahuddin,1965-1969,5,8,2,117,34*,19.50,0,0,0,Pakistan,
Naushad Ali,1965-1965,6,11,0,156,39,14.18,0,0,0,Pakistan,
Mufasir-ul-Haq,1965-1965,1,1,1,8,8*,-,0,0,0,Pakistan,
Majid Khan,1964-1983,63,106,5,3931,167,38.92,8,19,9,Pakistan,
Asif Iqbal,1964-1980,58,99,7,3575,175,38.85,11,12,9,Pakistan,
Pervez Sajjad,1964-1973,19,20,11,123,24,13.66,0,0,2,Pakistan,
Mohammad Ilyas,1964-1969,10,19,0,441,126,23.21,1,2,1,Pakistan,
Shafqat Rana,1964-1969,5,7,0,221,95,31.57,0,2,1,Pakistan,
Khalid Ibadulla,1964-1967,4,8,0,253,166,31.62,1,0,0,Pakistan,
Abdul Kadir,1964-1965,4,8,0,272,95,34.00,0,2,2,Pakistan,
Arif Butt,1964-1965,3,5,0,59,20,11.80,0,0,1,Pakistan,
Farooq Hamid,1964-1964,1,2,0,3,3,1.50,0,0,1,Pakistan,
Shahid Mahmood,1962-1962,1,2,0,25,16,12.50,0,0,0,Pakistan,
Javed Akhtar,1962-1962,1,2,1,4,2*,4.00,0,0,0,Pakistan,
Afaq Hussain,1961-1964,2,4,4,66,35*,-,0,0,0,Pakistan,
Javed Burki,1960-1969,25,48,4,1341,140,30.47,3,4,3,Pakistan,
Mohammad Farooq,1960-1965,7,9,4,85,47,17.00,0,0,1,Pakistan,
Mushtaq Mohammad,1959-1979,57,100,7,3643,201,39.17,10,19,4,Pakistan,
Intikhab Alam,1959-1977,47,77,10,1493,138,22.28,1,8,10,Pakistan,
Ijaz Butt,1959-1962,8,16,2,279,58,19.92,0,1,1,Pakistan,
A D'Souza,1959-1962,6,10,8,76,23*,38.00,0,0,0,Pakistan,
Mohammad Munaf,1959-1962,4,7,2,63,19,12.60,0,0,0,Pakistan,
Munir Malik,1959-1962,3,4,1,7,4,2.33,0,0,1,Pakistan,
DA Sharpe,1959-1959,3,6,0,134,56,22.33,0,1,0,Pakistan,
Saeed Ahmed,1958-1973,41,78,4,2991,172,40.41,5,16,2,Pakistan,
Nasim-ul-Ghani,1958-1973,29,50,5,747,101,16.60,1,2,8,Pakistan,
Haseeb Ahsan,1958-1962,12,16,7,61,14,6.77,0,0,3,Pakistan,
SF Rehman,1958-1958,1,2,0,10,8,5.00,0,0,0,Pakistan,
Gul Mohammad,1956-1956,1,2,1,39,27*,39.00,0,0,0,Pakistan,
W Mathias,1955-1962,21,36,3,783,77,23.72,0,3,3,Pakistan,
Agha Saadat Ali,1955-1955,1,1,1,8,8*,-,0,0,0,Pakistan,
Miran Bakhsh,1955-1955,2,3,2,1,1*,1.00,0,0,1,Pakistan,
Alimuddin,1954-1962,25,45,2,1091,109,25.37,2,7,6,Pakistan,
Shujauddin,1954-1962,19,32,6,395,47,15.19,0,0,3,Pakistan,
Mohammad Aslam,1954-1954,1,2,0,34,18,17.00,0,0,0,Pakistan,
MEZ Ghazali,1954-1954,2,4,0,32,18,8.00,0,0,2,Pakistan,
Khalid Hasan,1954-1954,1,2,1,17,10,17.00,0,0,0,Pakistan,
Khalid Wazir,1954-1954,2,3,1,14,9*,7.00,0,0,0,Pakistan,
Hanif Mohammad,1952-1969,55,97,8,3915,337,43.98,12,15,5,Pakistan,
Imtiaz Ahmed,1952-1962,41,72,1,2079,209,29.28,3,11,9,Pakistan,
Fazal Mahmood,1952-1962,34,50,6,620,60,14.09,0,1,10,Pakistan,
Mahmood Hussain,1952-1962,27,39,6,336,35,10.18,0,0,8,Pakistan,
Waqar Hasan,1952-1959,21,35,1,1071,189,31.50,1,6,0,Pakistan,
Wazir Mohammad,1952-1959,20,33,4,801,189,27.62,2,3,8,Pakistan,
Israr Ali,1952-1959,4,8,1,33,10,4.71,0,0,1,Pakistan,
AH Kardar,1952-1958,23,37,3,847,93,24.91,0,5,1,Pakistan,
Khan Mohammad,1952-1958,13,17,7,100,26*,10.00,0,0,3,Pakistan,
Zulfiqar Ahmed,1952-1956,9,10,4,200,63*,33.33,0,1,1,Pakistan,
Maqsood Ahmed,1952-1955,16,27,1,507,99,19.50,0,2,2,Pakistan,
Nazar Mohammad,1952-1952,5,8,1,277,124*,39.57,1,1,1,Pakistan,
Amir Elahi,1952-1952,5,7,1,65,47,10.83,0,0,1,Pakistan,
Anwar Hussain,1952-1952,4,6,0,42,17,7.00,0,0,0,Pakistan,
